Latitude,Longitude,Food Scrap Drop-off Site Name,Location,Hours
40.80194,-73.95099,FACES NY at 115th,"121 West 115th, 10026","Mon, Wed
10:00 AM to 2:00 PM"
40.80216,-73.95074,FACES NY at 116th,"114 West 116th, 10026","Mon, Wed
10:00 AM to 2:00 PM"
40.8617,-73.89138,Fordham Plaza Greenmarket,E Fordham Rd btw Webster Ave & Third Ave - S,"Friday
11:30 AM to 1:00 PM"
40.72186,-73.84648,Forest Hills Greenmarket,"South side of Queens Blvd at 70th Avenue, Queens","Sunday
8:00 AM to 2:00 PM"
40.68962,-73.97312,Fort Greene Greenmarket,"Washington Park between Willoughby Avenue & Dekalb Avenue, Brooklyn, NY 11201","Saturday
8:00 AM to 3:00 PM"
40.84216,-73.94228,Fort Washington Greenmarket,"168th Street at Fort Washington,New York,NY 10032","TUesday
8:00 AM to 3:00 PM"
40.67066,-73.95798,Franklin Avenue 2/3/4/5,Franklin Avenue & Eastern Parkway,"Wednesday
8:00 AM to 10:00 AM"
40.8044,-73.95605,Garden of Love,302 West 116 Street,"Tuesday 4:00 PM to 6:00 PM
Thursday 4:00 PM to 6:00 PM
Saturday 10:00 AM to 6:00 PM
Sunday 10:00 AM to 6:00 PM"
40.68695,-74.02043,Governors Islands Zero Waste Stations,Several locations throughout Governors Island,"Daily
11:00 AM to 5:00 PM"
40.67256,-73.96987,Grand Army Plaza Greenmarket,"Prospect Park West & Plaza Street West, Brooklyn, 11238","Saturday
8:00 AM to 3:30 PM"
40.72421,-73.97742,Green Oasis Garden,"368 East 8 Street, NY 10009","Daily
Dusk to Dawn"
40.8138,-73.94282,Harlem Grown,118 W 134th St,"Mon-Fri 9:00 AM to 5:00 PM
Saturday 11:00 AM to 3:00 PM
Sunday 11:00 AM to 3:00 PM"
40.76889,-73.92995,Hellgate Farm,14-33 30th Drive,"Wed, Sat, Sun
8:00 AM to 8:00 PM"
40.75555,-74.00035,Hudson Blvd Park,5 Hudson Blvd East,"Thursday
10:00 AM to 6:00 PM"
40.74283,-74.0077,Hudson River Park's 14th Street Park at 10th Ave.,14th Street Park at southwest corner of 15th St. and 10th Ave,"Daily
7:00 AM to 7:00 PM"
40.74889,-74.00703,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,Chelsea Waterside Park at 23rd St. and 11th Ave entrance,"Daily
7:00 AM to 7:00 PM"
40.72032,-74.01217,Hudson River Park's Pier 25 at N. Moore St.,Pier 25 at N. Moore St. near kid's playground,"Daily
7:00 AM to 7:00 PM"
40.72911,-74.01067,Hudson River Park's Pier 40 at W. Houston St.,Pier 40 at Houston St. near dog park,"Daily
7:00 AM to 7:00 PM"
40.73874,-74.00961,Hudson River Park's Pier 51 at Horatio St.,Pier 51 at Horatio St. near comfort station,"Daily
7:00 AM to 7:00 PM"
40.75702,-74.00493,Hudson River Park's Pier 76 at W. 34th St.,Pier 76 at 34th Street and 12th Ave in Hudson River Park's Compost Center,"Daily
7:00 AM to 7:00 PM"
40.76311,-73.99965,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,"Daily
7:00 AM to 7:00 PM"
40.72562,-74.00448,Hudson Square,6th Avenue & Spring Street -NE Corner,"Tuesday
8:00 AM to 11:00 AM"
40.67651,-73.93298,Imani Garden,1680 Pacific Street,"Daily
Dusk to Dawn"
40.869,-73.92032,Inwood Greenmarket,"Isham St at Cooper,New York,NY, 10034","Saturday
8:00 AM to 1:00 PM"
40.69299,-73.9083,Irving Square Park,Corner of Halsey and Knickerbocker,"Monday
8:00 AM to 11:00 AM"
40.66747,-73.91048,Iso Student Farm,514 Rockaway Avenue,"Mon, Wed
9:00 AM to 12:00 PM"
40.75343,-73.88783,Jackson Heights Greenmarket,34th Ave b/t 79th & 80th Sts,"Sunday
8:00 AM to 2:00 PM"
40.74986,-73.8963,JH Scraps,35-20 69th Street,"Saturday
11:00 AM to 1:00 PM"
40.73021,-73.99841,Judson Memorial Church,243 Thompson Street,"Sunday
10:00 AM to 1:00 PM"
40.76557,-73.93752,Junkluggers,"33-56 11th Street, Queens","Mon, Tue
10:00 AM to 6:00 PM"
40.8201,-73.89573,Kelly Street Garden,924 Kelly Street,"Saturday
10:00 AM to 2:00 PM"
40.84649,-73.89434,La Familia Verde Farmer's Market,"E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457","Tuesday
9:00 AM to 1:00 PM"
40.72541,-73.97862,La Plaza Cultural Community Garden,674 East 9th Street,"Sat, Sun
10:00 AM to 5:00 PM"
40.83114,-73.90069,"Learn it, Grow it, Eat it Youthmarket",McKinley Sq. at 169th St. & Boston Road,"Wednesday
10:00 AM to 3:00 PM"
40.87559,-73.89407,Lehman College,Lehman Quad near Shuster Hall,"Monday
8:00 AM to 10:00 AM"
40.76649,-73.95695,Lenox Hill Neighborhood House Fresh Food Box,1st Avenue Between 70th St and 71st St,"Tuesday
3:30 PM to 6:30 PM"
40.72465,-73.97964,LES Ecology Center Garden,213 E. 7th St,"Sunday
8:00 AM to 5:30 PM"
40.80008,-73.94221,Lydia's Magic Garden,"1665 Park Avenue, Manhattan 10035
 between 117th and 118th Streets","Wed, Sat
9:30 AM to 11:30 AM"
40.72103,-73.9915,M'Finda Kalunga Garden,Rivington and Forsyth,"Thursday
5:50 PM to 7:30 PM"
40.84494,-73.88741,Mary Mitchell Center,"2007 Mapes Ave, Bronx 10460 at E 178th St","Mon-Fri
10:00 AM to 6:00 PM"
40.76139,-73.99274,Mathews-Palmer Park,437 W 45 St,"Daily
7:00 AM to 9:00 PM"
40.72045,-73.95271,McCarren Park Greenmarket,"Union Ave at Driggs Ave,Brooklyn,NY,11222","Saturday
8:00 AM to 2:00 PM"
40.88145,-73.88664,Meg's Community Garden @ Dewitt Clinton High School Campus,100 West Mosholu Parkway,"Tue, Thu
4:00 PM to Dusk"
40.79971,-73.96218,Mobilization for Change Community Garden,955 Columbus Ave,"Daily
Dusk to Dawn"
40.83578,-73.93914,Morris- Jumel Community Garden,455-457 West 162nd Street,"Sat, Sun
12:00 PM to 5:00 PM"
40.879,-73.87569,Mosholu Preservation,3400 Reservoir Oval East,"Monday
12:00 PM to 4:00 PM"
40.6832,-73.93566,Mt. Lebanon Fresh Food Box,462 Halsey Street,"Saturday
11:30 AM to 2:30 PM"
40.82124,-73.92504,New Roots Community Farm,670 Grand Concourse,"Tuesday
3:00 PM to 7:00 PM"
40.6302,-74.11597,Olivet Heavenly Harvest,"97 Myrtle Avenue, Staten Island, NY","Tuesday 4:00 PM to 6:00 PM
Thu, Sat 10:00 AM to 1:00 PM"
40.83998,-73.91682,170 Farmstand,"Townsend Ave & 170 St, Bronx","Wednesday
2:30 PM to 5:30 PM"
40.72482,-73.94466,Park Church Co-op,"Park Church Co-op, 129 Russell Street Brooklyn","Wednesday
9:00 AM to 6:00 PM"
40.83337,-73.86192,Parkchester Greenmarket,"White Plains Rd & Westchester Ave, Bronx, NY 10472","Friday
8:00 AM to 2:00 PM"
40.65488,-73.96188,Parkside,"Ocean Ave & Parkside Ave, Brooklyn, NY 11226","Thursday
7:30 AM to 10:00 AM"
40.72168,-73.98202,Peach Tree Garden,236 East 2nd Street,"Wed 2:00 PM to 6:00 PM
Sat, Sun 1:00 PM to 8:00 PM"
40.67852,-73.91161,Phoenix Community Garden,20 Somers Street,"Thu, Fri 5:00 AM to 4:00 PM
Sat 8:00 to 9:00 AM"
40.66829,-73.86444,Pink Houses Community Farm,1257 Loring Avenue,"Tue, Sat 10:00 AM to 12:00 PM"
40.79662,-73.93159,Pleasant Village Community Garden,342 Pleasant Ave.,"Daily
Dusk to Dawn"
40.86422,-73.8958,Poe Park Greenmarket,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468","Tuesday
8:00 AM to 1:30 PM"
40.89683,-73.85594,Praxis Housing,4339 White Plains Road,"Wednesday
9:00 AM to 12:00 PM"
40.81809,-73.88842,Project H.O.P.E. Fresh Food Box,854 Hunts Point Ave,"Wednesday
3:00 PM to 6:30 PM"
40.67809,-73.96774,Prospect Heights Community Farm,252 St. Marks Ave.,"Sunday
10:00 AM to 12:00 PM"
40.82233,-73.91826,PSS - Andrew Jackson Senior Center,765 Courtlandt Avenue,"Monday
9:00 AM to 1:00 PM"
40.75142,-73.82734,Queens Botanical Garden DTE Farmers Market,82 Dahlia Avenue,"Friday
8:00 to 8:30 AM"
40.75173,-73.83,Queens Botanical Garden Public Food Scrap Drop-Off,"Parking Garden at QBG
 42-80 Crommelin Avenue, Flushing, NY 11355","Tue-Sun
8:00 AM to 4:30 PM (Nov-Mar)
8:00 AM to 6:00 PM (Apr-Oct)"
40.74761,-73.7241,Queens County Farm Museum,73-50 Little Neck Parkway,"Daily
10:00 AM to 5:00 PM"
40.75848,-73.91862,Queens Library at Broadway,"40-20 Broadway, Long Island City, NY, 11103","Monday
1:00 PM to 7:00 PM"
40.67223,-74.01101,Red Hook Community Farm,Otsego Street and Beard Street,"Friday 9:00 AM to 12:00 PM
Saturday 10:30 AM to 1:00 PM"
40.59188,-73.78826,Rockaway Waterfront Alliance R.I.S.E.,5803 Rockaway Beach Blvd.,"Wednesday
4:00 PM to 7:00 PM"
40.76379,-73.94736,Roosevelt Island under the Helix,Main Street under the Helix,"Saturday
9:00 AM to 2:30 PM"
40.74405,-74.00201,Saint Peter's Church,346 West 20th Street,"Daily
Dusk to Dawn"
40.70848,-73.94431,Scholes Street Children's Garden,"134 Scholes St, Brooklyn, NY 11206","Tue, Thu, Sat"
40.74318,-73.94308,Smiling Hogshead Ranch,25-30 Skillman Avenue,"Daily
Dusk to Dawn"
40.76777,-73.93623,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106","Daily
9:00 AM to Dusk"
40.72302,-73.99881,SoHo Broadway and Spring Street,Broadway at Spring Street,"Daily
Dusk to Dawn"
40.82907,-73.90429,St. Augustine Food Pantry,1168 Franklin Ave,"Monday 11:00 AM to 5:00 PM
Thursday 12:30 PM to 5:00 PM"
40.64159,-74.0779,St. George Greenmarket,"St Marks Pl & Hyatt St
 Staten Island, NY 10301","Saturday
8:00 AM to 1:00 PM"
40.73834,-73.87782,St. James Compost,86-02 Broadway,"1st & 3rd Sunday
10:00 AM to 12:00 PM"
40.58381,-74.16125,Staten Island Mall Greenmarket,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314","Saturday
8:00 AM to 1:00 PM"
40.75005,-73.91376,Sunny Compost,"38-63-38-1 50th St, Woodside, NY 11377","Sunday
2:00 PM to 4:00 PM"
40.74689,-73.9208,Sunnyside Greenmarket,"Skillman Ave at 43rd St,Queens,NY,11104","Saturday
8:00 AM to 2:00 PM"
40.8577,-73.92226,Swindler Cove,3703 10th Avenue,"Daily
8:00 AM to 4:00 PM"
